token,entry_time,entry_price,entry_token_amount,entry_sol_amount,entry_network_fee,entry_pump_fee,entry_token_account_fee,exit_time,exit_price,exit_token_amount,exit_sol_amount,exit_network_fee,exit_pump_fee,hold_time,gross_pnl,net_pnl,gross_roi,net_roi,wallet_address
G4KW7UQvFTASqrLJ4LouT8yDEN2USk1kmmJd2D7epump,2025-04-02 14:42:46,4.589865509724716e-08,414878.452531,0.019042363,2.75e-05,0.000190424,0.00203928,2025-04-02 14:43:05,6.15169957473098e-08,414878.452531,0.025522076,2.75e-05,0.000255221,0.31666666666666665,0.0064797130000000015,0.003939788,34.02788298910173,18.497033296498465,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
7v9JcVJdBdDCi4DkByM3dBm3BNLqcUXaJ87kyZ5Npump,2025-04-02 14:49:25,4.579391598694895e-08,414878.452531,0.018998909,2.75e-05,0.00018999,0.00203928,2025-04-02 14:49:37,6.240255873029588e-08,414878.452531,0.025889477,2.75e-05,0.000258895,0.2,0.006890568,0.004347403,36.26822992836062,20.452901081165177,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
8neofhhTMT6v7355obZUqw7eXUKztT3PzabhimU8pump,2025-04-02 14:53:54,4.5583974980206754e-08,414878.452531,0.018911809,2.75e-05,0.000189119,0.00203928,2025-04-02 14:54:08,6.252749411723581e-08,414878.452531,0.02594131,2.75e-05,0.000259414,0.23333333333333334,0.007029500999999997,0.004486687999999996,37.16990267826836,21.195908409167373,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
HEwnTE9HCQoVnRdibjr7rcLVuQksY4J61yhkMYzGpump,2025-04-02 15:02:06,4.613974016539137e-08,414878.452531,0.019142384,2.75e-05,0.000191424,0.00203928,2025-04-02 15:02:20,6.25689375807252e-08,414878.452531,0.025958504,2.75e-05,0.000259586,0.23333333333333334,0.006816120000000002,0.004270830000000003,35.607477104210226,19.95660119245323,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
7FiCDWCYG7R8Cq6fyowNn73N9kabWeL9z2h8AJkvpump,2025-04-02 15:08:29,4.589865509724716e-08,414878.452531,0.019042363,2.75e-05,0.000190424,0.00203928,2025-04-02 15:08:39,2.9261886043823596e-08,414878.452531,0.012140126,2.75e-05,0.000121402,0.16666666666666666,-0.006902237,-0.009308343000000002,-36.246746267782,-43.70202924782462,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
62J116kaXqry3epzuMyqEat7rXoUonnS4TTa4YXQpump,2025-04-02 15:10:01,4.589865509724716e-08,414878.452531,0.019042363,2.75e-05,0.000190424,0.00203928,2025-04-02 15:10:27,2.846021510147658e-08,414878.452531,0.01180753,2.75e-05,0.000118076,0.43333333333333335,-0.0072348329999999995,-0.009637613000000001,-37.99335723197798,-45.24792921846721,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
G4RacjYvXdqg6HKgUoCFyf1dg8eAbcJZZrXXaPnQpump,2025-04-02 15:13:46,4.592273443889303e-08,414878.452531,0.019052353,2.75e-05,0.000190524,0.00203928,2025-04-02 15:13:59,6.568248322793732e-08,414878.452531,0.027250247,2.75e-05,0.000272503,0.21666666666666667,0.008197893999999997,0.0056405869999999955,43.02824958156085,26.469628300446107,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
9EAhV9rGsijAeWD2CgEMjNPdPj5jkq2smdT1ZaeFpump,2025-04-02 15:25:26,4.5817896504469934e-08,414878.452531,0.019008858,2.75e-05,0.000190089,0.00203928,2025-04-02 15:25:38,5.470587074729825e-08,414878.452531,0.022696287,2.75e-05,0.000226963,0.2,0.003687428999999999,0.0011760969999999975,19.398477278329917,5.5304810411607255,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
2b48RuNAswEnzviKzuBRuqwPLpuEvVws8jn6jsNRpump,2025-04-02 15:31:41,4.922632943937135e-08,393567.73541,0.019373895,2.75e-05,0.000193739,0.00203928,2025-04-02 15:31:53,7.059061884495649e-08,393567.73541,0.02778219,2.75e-05,0.000277822,0.2,0.008408295,0.005842454,43.400126820136066,27.005372089116907,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
2CYHkz5ZbkDNRNBdKR2E8rSezKf9ucAUmRyETgS5pump,2025-04-02 15:36:25,4.935366965425912e-08,393567.73541,0.019424012,2.75e-05,0.000194241,0.00203928,2025-04-02 15:36:47,7.090034189649937e-08,393567.73541,0.027904087,2.75e-05,0.000279041,0.36666666666666664,0.008480075,0.005912512999999998,43.65769028561144,27.265409280216435,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
Cda69qJF1YxDjpYdU7eCqnGXyxxCwuGw1DSCq4oNpump,2025-04-02 15:45:44,4.560779159430113e-08,414878.452531,0.01892169,2.75e-05,0.000189217,0.00203928,2025-04-02 15:45:54,5.965475393820484e-08,414878.452531,0.024749472,2.75e-05,0.000247495,0.16666666666666666,0.005827782,0.003296790000000001,30.799479327692186,15.56728078944599,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
AuD7u3mTiCzPxAx5ko626VtdUmXk5HvTeihHtoR3pump,2025-04-02 15:57:50,4.589865509724716e-08,414878.452531,0.019042363,2.75e-05,0.000190424,0.00203928,2025-04-02 15:58:00,5.4199221152175466e-08,414878.452531,0.022486089,2.75e-05,0.000224861,0.16666666666666666,0.003443726000000001,0.0009341609999999993,18.08455179643409,4.385821552147042,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
De93QqArhC5Ttz31E9j8wLdMg2VqC5T1wxaFJbYypump,2025-04-02 16:02:46,4.6783246711396074e-08,414878.452531,0.019409361,2.75e-05,0.000194094,0.00203928,2025-04-02 16:02:54,5.618982585811229e-08,414878.452531,0.023311948,2.75e-05,0.00023312,0.13333333333333333,0.003902586999999999,0.001381093,20.106725821628025,6.373225763356973,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
8ozkPtwDGu94vFBwL3g89gcXXaTpiVhqurSxyfq3pump,2025-04-02 16:04:54,4.5583974980206754e-08,414878.452531,0.018911809,2.75e-05,0.000189119,0.00203928,2025-04-02 16:05:17,2.7969806407656072e-08,414878.452531,0.01160407,2.75e-05,0.000116041,0.38333333333333336,-0.007307739000000002,-0.009707179000000005,-38.64114215620516,-45.85843209855315,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
